rl-secondary-2  |  * Serving Flask app 'app'
rl-secondary-2  |  * Debug mode: off
rl-secondary-2  | 2025-12-07 20:39:52,608 | INFO | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
rl-secondary-2  |  * Running on all addresses (0.0.0.0)
rl-secondary-2  |  * Running on http://127.0.0.1:8001
rl-secondary-2  |  * Running on http://172.18.0.3:8001
rl-secondary-2  | 2025-12-07 20:39:52,608 | INFO | [33mPress CTRL+C to quit[0m
rl-secondary-2  | 2025-12-07 20:39:58,013 | INFO | 192.168.65.1 - - [07/Dec/2025 20:39:58] "GET /health HTTP/1.1" 200 -
rl-secondary-2  | 2025-12-07 20:39:58,372 | INFO | 192.168.65.1 - - [07/Dec/2025 20:39:58] "GET /health HTTP/1.1" 200 -
rl-secondary-2  | 2025-12-07 20:39:58,384 | INFO | Simulating delay 1500 ms
rl-secondary-2  | 2025-12-07 20:39:59,885 | INFO | Replicated seq=1 msg=smoke (pos=0)
rl-secondary-2  | 2025-12-07 20:39:59,885 | INFO | 172.18.0.4 - - [07/Dec/2025 20:39:59] "POST /replicate HTTP/1.1" 200 -
rl-secondary-2  | 2025-12-07 20:39:59,943 | INFO | 192.168.65.1 - - [07/Dec/2025 20:39:59] "GET /messages HTTP/1.1" 200 -
rl-secondary-2  | 2025-12-07 20:40:00,462 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:00] "GET /health HTTP/1.1" 200 -
rl-secondary-2  | 2025-12-07 20:40:00,467 | INFO | Simulating delay 1500 ms
rl-secondary-2  | 2025-12-07 20:40:01,971 | INFO | Replicated seq=2 msg=pytest (pos=1)
rl-secondary-2  | 2025-12-07 20:40:01,973 | INFO | 172.18.0.4 - - [07/Dec/2025 20:40:01] "POST /replicate HTTP/1.1" 200 -
rl-secondary-2  | 2025-12-07 20:40:01,982 | INFO | 192.168.65.1 - - [07/Dec/2025 20:40:01] "GET /health HTTP/1.1" 200 -
